TITLE SAM Trajectory Tables 

Missile trajectory from launch SBEL(0,0,0)
1. Table: time_vs_ascent_altitude
    time starting at missile launch
2. Table: alt_vs_launch_time

1DIM time_vs_ascent_altitude
NX1 41  //ascent altitude in meter vs. time since launch of missile
0       0
27.5533 1
131.249 2
333.894 3
637.433 4
1039.8  5
1541.9  6
2146.67 7
2835.51 8
3532.2  9
4219.5  10
4900.15 11
5576.86 12
6252.62 13
6930.81 14
7613.62 15
8302.93 16
9000.55 17
9708.2  18
10427.5 19
11160.1 20
11907.6 21
12671.7 22
13453.9 23
14255.7 24
15078.7 25
15924.3 26
16793.8 27
17688.4 28
18609.5 29
19558.2 30
20535.7 31
21540.3 32
22568.5 33
23621.7 34
24701.9 35
25810.6 36
26949.3 37
28119.3 38
29322.2 39
30559.9 40

1DIM alt_vs_launch_time
NX1 41  //time since missile launch in sec vs. ascent altitude in meter
0   0
1   27.5533
2   131.249
3   333.894
4   637.433
5   1039.8
6   1541.9
7   2146.67
8   2835.51
9   3532.2
10  4219.5
11  4900.15
12  5576.86
13  6252.62
14  6930.81
15  7613.62
16  8302.93
17  9000.55
18  9708.2
19  10427.5
20  11160.1
21  11907.6
22  12671.7
23  13453.9
24  14255.7
25  15078.7
26  15924.3
27  16793.8
28  17688.4
29  18609.5
30  19558.2
31  20535.7
32  21540.3
33  22568.5
34  23621.7
35  24701.9
36  25810.6
37  26949.3
38  28119.3
39  29322.2
40  30559.9
