TITLE SRBM Trajectory Tables Ballistic

Rocket trajectory from launch SAEL(1Km, -250Km, 0) to impact at (1000m, 6460m, 0)
1. Table: time_vs_descent_altitude
    time starting at apogee with 0 towards impact at 215 sec
	(must be loaded in increasing altitudes)
2. Table: x_vs_launch_time of rocket
    North component
3. Table: y_vs_launch_time of rocket
    East component
4. Table: z_vs_launch_time of rocket
    Down component

XCEL Notes:
	Invert column from smallest to largest: -> right click -> sort -> ...

1DIM apotime_vs_descent_altitude
NX1 216  //time since apogee in sec vs descent altitude in meter
0	    215
524.405	214
1027	213
1579.06	212
2186.07	211
2853.45	210
3587.73	209
4395.54	208
5282.56	207
6253.51	206
7312.77	205
8462.85	204
9704.48	203
11037.4	202
12457.8	201
13956.7	200
15523	199
17144.7	198
18810.6	197
20510.4	196
22234.9	195
23976.5	194
25729.2	193
27487.9	192
29249.1	191
31009.8	190
32767.8	189
34521.5	188
36269.5	187
38010.8	186
39744.8	185
41470.9	184
43188.7	183
44897.8	182
46598.2	181
48289.5	180
49971.6	179
51644.6	178
53308.2	177
54962.4	176
56607.2	175
58242.5	174
59868.3	173
61484.6	172
63091.4	171
64688.6	170
66276.3	169
67854.4	168
69422.9	167
70981.9	166
72531.2	165
74071	164
75601.2	163
77121.9	162
78632.9	161
80134.4	160
81626.3	159
83108.7	158
84581.4	157
86044.6	156
87498.3	155
88942.4	154
90377	153
91802	152
93217.4	151
94623.4	150
96019.8	149
97406.6	148
98784	147
100152	146
101510	145
102859	144
104198	143
105528	142
106848	141
108159	140
109460	139
110752	138
112034	137
113307	136
114570	135
115824	134
117069	133
118304	132
119529	131
120745	130
121952	129
123149	128
124336	127
125514	126
126683	125
127842	124
128992	123
130133	122
131264	121
132385	120
133497	119
134600	118
135693	117
136777	116
137852	115
138917	114
139973	113
141019	112
142056	111
143083	110
144101	109
145110	108
146109	107
147099	106
148080	105
149051	104
150013	103
150965	102
151908	101
152842	100
153766	99
154681	98
155587	97
156483	96
157370	95
158247	94
159115	93
159974	92
160824	91
161664	90
162494	89
163316	88
164128	87
164931	86
165724	85
166508	84
167283	83
168049	82
168805	81
169552	80
170289	79
171017	78
171736	77
172446	76
173146	75
173837	74
174519	73
175191	72
175854	71
176508	70
177152	69
177788	68
178413	67
179030	66
179637	65
180235	64
180824	63
181403	62
181974	61
182534	60
183086	59
183628	58
184161	57
184685	56
185200	55
185705	54
