1 input_SAM_INSB_SRBM_Radar_#1.asc  Feb 11 2018 18:31:27
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
433.299         0               5.00147         1.37646         118652          
55.0017         77.9554         -0.00902251     0.33646         -0.0236877      
0.33646         -0.000139101    -0.106994       -0.131965       3.38004e-005    
135.31          193.248         -1038.26        462.988         1038.26         
55.0013         77.6192         0.240522        0.000101193     238.73          
31764.4         2.61241         2.47489         289.956         0.390154        
-1.25261        -106.006        0               0               -146.402        
49.7435         50              0               0.189925        -1.05382        
-106.179        -53.6163        49534.5         0               0               
0               0               0               0               0               
77.649          55.0799         0.000810285     -1.69091        0.757109        
0               0.757109        -1.69091        0               0               
61.0546         13848.8         0               0.501045        225.61          
117.122         0.99926         6.39229         0               0               
-0.001433       -0.0599622      -6.96643e-006   0.00143996      -0.0585292      
0.00142603      0.0613952       0               0               0               
0               222031          49534.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               1               1               
450.84          0               22.5425         2.63276         80878.4         
60.7547         86.4231         0.199712        0.726345        -16.8961        
0.694994        -0.211098       -6.89816        -0.590493       0.431146        
931.229         1684.26         -12966.4        776.866         12966.4         
57.851          85.725          0.419192        0.126819        184.915         
7274.19         2.37475         1.99203         214.034         1.18465         
-1.73509        -84.9723        0               0               -33.8655        
45.5862         46.1053         0               1.06106         -1.58902        
-85.1128        -43.3509        6239.06         9.42751e-005    0               
-0.000238239    13.0981         -6.31023        0.0025197       -0.00511126     
85.7609         58.0627         0.085346        2.14535         -2.96614        
5036.56         -2.96614        2.14535         2.00075         -2517.34        
0               1803.23         0               0.694034        191.956         
27.0924         0.99926         6.39229         0               0               
0.0205842       -0.787237       -0.228973       0.208389        -0.807821       
-0.249557       0.766653        0               0               0               
0               240631          6238.31         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.116785       0.223028        0               0               1               1               
453.349         2               25.0515         2.80535         67013.5         
105.264         85.9531         -1.34773        2.20692         -97.7947        
-0.299455       -2.18652        9.20751         8.90814         0.186995        
997.126         1817.33         -14973.2        827.796         14973.2         
75.33           85.6026         -0.208013       1.13391         179.897         
7415.64         2.35969         1.96443         216.041         0.995409        
-1.49832        -66.0651        0               0               -24.7558        
37.5718         38.8937         0               1.05799         -1.53573        
-66.0194        -33.7776        5.37119         1.75518         0               
-1.4663         18.5261         1.73784         4.78238         -1.49769        
85.6333         75.6614         -1.16266        -37.2628        11.1448         
-785.652        120.14          -401.693        3.37834         232.555         
0               1803.23         0               0.599326        161.704         
19.8047         0.99926         6.39229         0               0               
0.244269        -0.320873       -2.29465        2.05038         -0.565142       
-2.53892        0.0766042       5.2362          -4.36202        -2.89664        
0               240631          5.67566         -179.62         -82.5891        
0               0               0               0               0               
0               0               0               0               0               
-0.116785       0.223028        0               0               1               1               
433.289         0               5.00147         1.37646         118652          
55              77.9544         -0.00377906     0.336282        -0.00460148     
0.336282        -2.7007e-005    0.136654        -0.132134       -1.62856e-005   
135.317         193.253         -1038.26        462.988         1038.26         
55              77.6184         0.240395        2.00478e-005    238.73          
31764.4         2.61241         2.47489         289.956         0.39016         
-1.25262        -106.006        0               0               -146.402        
49.7437         50              0               0.189933        -1.05382        
-106.179        -53.6164        49552.2         0               0               
0               0               0               0               0               
77.5964         54.9722         0.000810285     -1.61592        0.74683         
0               0.74683         -1.61592        0               0               
61.0596         13828.5         0               0.501047        225.61          
117.122         0.999261        6.39234         0               0               
0.000264519     -0.0599288      2.17637e-007    -0.000264737    -0.0601933      
-0.000264302    0.0596642       0               0               0               
0               222031          49551.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               2               1               
450.832         0               22.5445         2.63516         80865.4         
61.1492         86.462          0.13464         0.700426        -17.8486        
0.666717        -0.214678       -6.78563        -0.632701       0.422229        
919.823         1670.12         -12979.1        777.574         12979.1         
58.1582         85.7919         0.402357        0.128945        184.911         
7275.23         2.37473         1.99201         214.036         1.18306         
-1.73374        -84.8936        0               0               -33.7952        
45.5924         46.0928         0               1.06199         -1.5899         
-85.0318        -43.3109        6238.18         0.000218108     0               
-0.00019545     12.9515         -6.29185        0.0112044       -0.00214851     
85.7755         58.1235         0.0817662       6.67692         -1.43503        
5038.77         -1.43503        6.67692         2.00075         -2518.44        
0               1773.7          0               0.693494        191.83          
27.0362         0.999261        6.39234         0               0               
0.0211246       -0.753115       -0.232845       0.211721        -0.77424        
-0.25397        0.731991        0               0               0               
0               240631          6237.42         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.116063       0.22105         0               0               2               1               
453.34          2               25.0525         2.80334         66783.5         
54.2436         78.7389         -1.31557        5.87797         167.437         
-5.7382         1.27638         67.56           -9.78545        -13.2325        
992.318         1808.14         -14985.9        827.197         14985.9         
65.7106         84.4091         -2.97487        -0.662387       179.895         
7416.41         2.35969         1.96442         216.042         1.06612         
-1.56926        -65.8001        0               0               -24.7113        
35.1956         38.765          0               0.580317        -1.04202        
-66.3294        -33.6857        7.71888         -1.28357        0               
-0.880364       15.7589         -11.2934        -3.94211        -4.8579         
84.3957         65.6752         -1.30551        -23.2374        -31.0282        
130.204         -66.3597        -49.6975        3.37822         -38.5422        
0               1773.7          0               0.627705        161.28          
19.7691         0.999261        6.39234         0               0               
-0.145356       6.67052         1.50976         -1.3644         6.81588         
1.65511         -6.52517        7.71353         0.188531        -7.71123        
-1.38778e-017   240631          7.72151         -179.215        -82.3221        
0               0               0               0               0               
0               0               0               0               0               
-0.116063       0.22105         0               0               2               1               
433.299         0               5.00147         1.37646         118653          
54.9966         77.9556         0.0762795       0.336504        0.10954         
0.336503        0.000643336     0.0798941       -0.131928       6.50007e-005    
135.315         193.242         -1038.26        462.988         1038.26         
54.9975         77.6194         0.240553        -0.000464808    238.73          
31764.4         2.61241         2.47489         289.956         0.390127        
-1.25259        -106.006        0               0               -146.402        
49.7435         50              0               0.189923        -1.05382        
-106.179        -53.6164        49534.5         0               0               
0               0               0               0               0               
77.6541         54.9309         -0.000810285    -1.6504         0.678349        
0               0.678349        -1.6504         0               0               
61.0546         13891.3         0               0.501037        225.61          
117.122         0.999258        6.39212         0               0               
0.00196488      -0.0599716      4.27507e-005    -0.00200763     -0.0619365      
-0.00192213     0.0580067       0               0               0               
0               222031          49534.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               1               
450.837         0               22.5395         2.63505         80924.1         
60.5843         86.4517         0.769642        0.746351        -10.8634        
0.732977        -0.140659       -5.93024        -0.550739       0.36947         
930.545         1683.22         -12973.9        777.542         12973.9         
58.5535         85.719          0.441686        0.0843979       184.921         
7274.81         2.37476         1.99207         214.032         1.18885         
-1.73958        -84.955         0               0               -33.8218        
45.5903         46.124          0               1.05703         -1.58583        
-85.1035        -43.3447        6236.83         -8.88213e-005   0               
-0.000313831    12.9653         -6.46069        0.00484681      -0.00464789     
85.7591         58.2332         0.0862468       3.35931         -2.73619        
5037.88         -2.73619        3.35931         2.00075         -2517.99        
0               1838.37         0               0.695832        191.928         
27.0574         0.999258        6.39212         0               0               
0.0128487       -0.836035       -0.154569       0.141721        -0.848884       
-0.167418       0.823187        0               0               0               
0               240631          6236.08         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.11819        0.222206        0               0               3               1               
453.344         2               25.0465         2.80944         67125.4         
95.752          86.3726         -1.10533        1.77668         -78.4714        
0.355191        -1.74083        15.679          9.91116         -0.675189       
997.579         1815.76         -14981.1        829.003         14981.1         
72.5342         85.6087         0.134216        0.907491        179.907         
7416.12         2.35972         1.96449         216.037         1.02702         
-1.53181        -66.0641        0               0               -24.7142        
37.8802         38.9476         0               1.05673         -1.53751        
-66.0513        -33.7944        6.03827         1.52832         0               
-1.54599        18.8727         -0.400014       5.13146         -1.71334        
85.6542         72.342          -1.0621         -37.1277        11.7665         
-521.395        91.0741         -287.373        3.3781          154.346         
0               1838.37         0               0.612723        161.703         
19.7714         0.999258        6.39212         0               0               
0.165532        -1.08           -1.80162        1.63609         -1.24553        
-1.96715        0.914468        5.93603         -5.4095         -2.44412        
0               240631          6.32835         -179.55         -82.6043        
0               0               0               0               0               
0               0               0               0               0               
-0.11819        0.222206        0               0               3               1               
433.299         0               5.00147         1.37646         118653          
54.998          77.9555         0.108852        0.336487        0.133412        
0.336486        0.000783499     -0.0999554      -0.131948       0.000193291     
135.313         193.245         -1038.26        462.989         1038.26         
54.9987         77.6193         0.24054         -0.000565262    238.73          
31764.4         2.61241         2.47489         289.956         0.39012         
-1.25259        -106.006        0               0               -146.402        
49.7435         50              0               0.189924        -1.05382        
-106.179        -53.6165        49534.5         0               0               
0               0               0               0               0               
77.5989         54.863          0.000810285     -1.63371        0.714568        
0               0.714568        -1.63371        0               0               
61.0546         13864.1         0               0.501035        225.61          
117.122         0.999257        6.39208         0               0               
-0.00153783     -0.0599743      5.58798e-005    0.00148195      -0.0584364      
0.00159371      0.0615121       0               0               0               
0               222031          49534.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               4               1               
450.836         0               22.5385         2.63474         80911.4         
61.1916         86.4867         0.824621        0.723425        -14.0098        
0.701908        -0.175128       -6.26925        -0.586177       0.386529        
919.639         1673.99         -12973.5        777.452         12973.5         
58.6566         85.7843         0.423298        0.105199        184.923         
7274.77         2.37477         1.99208         214.031         1.18628         
-1.737          -84.9526        0               0               -33.8245        
45.5998         46.1171         0               1.05946         -1.58787        
-85.0964        -43.3421        6237.37         0.000169022     0               
-0.000228177    12.9124         -6.40188        0.00263458      -0.00534412     
85.7634         58.2442         0.0827015       2.19842         -3.09288        
5038.11         -3.09288        2.19842         2.00075         -2518.11        
0               1813.06         0               0.694801        191.924         
27.0596         0.999257        6.39208         0               0               
0.0167874       -0.797112       -0.19071        0.173922        -0.813899       
-0.207497       0.780324        0               0               0               
0               240631          6236.62         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.11763        0.220414        0               0               4               1               
453.344         2               25.0465         2.8044          66892.4         
49.8953         79.3273         -1.15896        5.5023          164.496         
-5.30325        1.46869         70.2178         -8.92202        -13.0582        
992.751         1810.82         -14980.4        827.511         14980.4         
63.8416         84.5172         -2.76407        -0.766785       179.907         
7416.08         2.35972         1.96449         216.037         1.05064         
-1.55414        -65.906         0               0               -24.7295        
35.4743         38.8233         0               0.61729         -1.08125        
-66.3799        -33.7306        7.32579         -0.686491       0               
-1.42686        14.9242         -11.8832        -3.78283        -4.99369        
84.5014         63.5176         -1.30684        22.6282         31.5471         
-556.834        289.131         207.388         3.37822         164.831         
0               1813.06         0               0.621655        161.45          
19.7836         0.999257        6.39208         0               0               
-0.163579       6.06973         1.67565         -1.51207        6.23331         
1.83923         -5.90615        7.31543         -0.383786       -7.30535        
0               240631          7.41764         -179.175        -82.377         
0               0               0               0               0               
0               0               0               0               0               
-0.11763        0.220414        0               0               4               1               
433.269         0               5.00147         1.37646         118652          
55.0018         77.9555         -0.0441345      0.336481        -0.0612277      
0.336481        -0.00035957     0.132916        -0.131951       -5.55842e-005   
135.31          193.247         -1038.26        462.988         1038.26         
55.0013         77.6193         0.240535        0.000259041     238.73          
31764.4         2.61241         2.47489         289.956         0.390142        
-1.2526         -106.006        0               0               -146.402        
49.7435         50              0               0.189924        -1.05382        
-106.179        -53.6164        49587.6         0               0               
0               0               0               0               0               
77.6029         55.0881         0.000810285     -1.64132        0.656268        
0               0.656268        -1.64132        0               0               
61.0698         13821.4         0               0.501042        225.61          
117.122         0.999259        6.39222         0               0               
-0.00399382     -0.0599718      -2.71054e-005   0.00402092      -0.0559779      
0.00396671      0.0639656       0               0               0               
0               222031          49587.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               5               1               
450.825         0               22.5575         2.63661         80796.7         
60.4155         86.4884         0.000810285     0.673867        -13.4913        
0.655274        -0.157209       -5.78019        -0.688252       0.357831        
931.904         1670.08         -12991.5        778.003         12991.5         
58.2073         85.8317         0.395009        0.0942055       184.885         
7276.25         2.37466         1.99187         214.046         1.1871          
-1.73741        -84.7726        0               0               -33.7296        
45.5753         46.0564         0               1.06242         -1.59004        
-84.9144        -43.2522        6238.21         -0.000111039    0               
-0.000290176    12.9258         -6.3153         0.00689547      -0.00337039     
85.8123         58.3848         0.0775264       4.42181         -2.06926        
5040.34         -2.06926        4.42181         2.00075         -2519.22        
0               1750.76         0               0.694964        191.636         
26.9837         0.999259        6.39222         0               0               
0.0150671       -0.74111        -0.172147       0.15708         -0.756178       
-0.187214       0.726043        0               0               0               
0               240631          6237.46         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.115628       0.221124        0               0               5               1               
453.332         2               25.0645         2.80609         66776.5         
99.1127         82.6291         -2.63365        3.38943         -150.483        
-2.95035        -1.66918        26.1423         0.514339        -4.71849        
996.584         1804.86         -14999.1        828.011         14999.1         
77.286          85.149          -1.5652         0.946332        179.871         
7417.19         2.35961         1.96429         216.052         1.03479         
-1.53751        -65.7685        0               0               -24.6554        
36.703          38.7602         0               0.82219         -1.29314        
-66.0098        -33.6515        3.51851         1.67109         0               
-1.63981        18.901          -0.38782        1.38355         -3.13301        
85.1282         77.3495         -2.61732        -16.3154        35.1591         
-754.394        241             -111.835        3.3781          223.319         
0               1750.76         0               0.615005        161.23          
19.7243         0.999259        6.39222         0               0               
0.494143        3.01199         -0.810214       0.316071        2.51785         
-1.30436        -3.50614        3.49146         -0.611762       -3.43745        
0               240631          3.71649         -179.635        -82.4341        
0               0               0               0               0               
0               0               0               0               0               
-0.115628       0.221124        0               0               5               1               
433.289         0               5.00147         1.37646         118653          
54.994          77.9558         0.165619        0.336532        0.230725        
0.336529        0.00135517      -0.0237198      -0.131921       0.000174944     
135.317         193.24          -1038.26        462.989         1038.26         
54.9958         77.6195         0.240574        -0.000974332    238.73          
31764.4         2.61241         2.47489         289.956         0.390089        
-1.25257        -106.007        0               0               -146.402        
49.7435         50              0               0.189923        -1.05382        
-106.179        -53.6166        49552.2         0               0               
0               0               0               0               0               
77.6122         54.7653         -0.000810285    -1.62166        0.72338         
0               0.72338         -1.62166        0               0               
61.0596         13838.6         0               0.501027        225.611         
117.122         0.999255        6.39189         0               0               
0.00352948      -0.059972       0.000111134     -0.00364061     -0.0635015      
-0.00341835     0.0564425       0               0               0               
0               222031          49551.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               6               1               
450.833         0               22.5455         2.63548         80877.7         
61.6686         86.4298         1.15335         0.682425        -16.0821        
0.655721        -0.189037       -6.39194        -0.634736       0.398299        
915.832         1676.49         -12979.7        777.669         12979.7         
58.9122         85.7741         0.395654        0.113467        184.909         
7275.28         2.37473         1.992           214.036         1.18493         
-1.73564        -84.8957        0               0               -33.7918        
45.6118         46.0995         0               1.06267         -1.59059        
-85.0351        -43.3129        6237.13         0.000336149     0               
-0.000200941    12.9407         -6.46766        0.00979544      -0.00346193     
85.7704         58.206          0.0786293       5.95271         -2.12424        
5038.63         -2.12424        5.95271         2.00075         -2518.37        
0               1780.61         0               0.694254        191.833         
27.0335         0.999255        6.39189         0               0               
0.0195094       -0.741635       -0.205956       0.186446        -0.761145       
-0.225465       0.722126        0               0               0               
0               240631          6236.38         0               0               
0               0               0               0               0               
0               0               0               0               0               
