1 input_SAM_IR_SRBM_Radar_#1_#2_#3.asc  Feb 14 2018 11:31:38
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
433.299         0               5.00147         1.37646         118652          
55.0017         77.9554         -0.00902251     0.33646         -0.0236877      
0.33646         -0.000139101    -0.106994       -0.131965       3.38004e-005    
135.31          193.248         -1038.26        462.988         1038.26         
55.0013         77.6192         0.240522        0.000101193     238.73          
31764.4         2.61241         2.47489         289.956         0.390154        
-1.25261        -106.006        0               0               -146.402        
49.7435         50              0               0.189925        -1.05382        
-106.179        -53.6163        49534.5         0               0               
0               0               0               0               0               
77.649          55.0799         0.000810285     -1.69091        0.757109        
0               0.757109        -1.69091        0               0               
61.0546         13848.8         0               0.501045        225.61          
117.122         0.99926         6.39229         0               0               
-0.001433       -0.0599622      -6.96643e-006   0.00143996      -0.0585292      
0.00142603      0.0613952       0               0               0               
0               222031          49534.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               1               1               
450.84          0               22.5425         2.63276         80878.4         
60.7552         86.4231         0.199705        0.726354        -16.8978        
0.694997        -0.211121       -6.89795        -0.590478       0.431132        
931.229         1684.26         -12966.4        776.866         12966.4         
57.8512         85.725          0.419194        0.126833        184.915         
7274.19         2.37475         1.99203         214.034         1.18465         
-1.73508        -84.9723        0               0               -33.8655        
45.5862         46.1054         0               1.06106         -1.58902        
-85.1128        -43.3509        6239.06         0.000345661     0               
-0.000151554    13.0955         -6.31106        0.00566133      -0.00402433     
85.7609         58.0629         0.0853344       3.78739         -2.40456        
5036.56         -2.40456        3.78739         2.00075         -2517.34        
0               1803.23         0               0.694034        191.956         
27.0924         0.99926         6.39229         0               0               
0.020587        -0.787239       -0.228996       0.208409        -0.807826       
-0.249583       0.766652        0               0               0               
0               240631          6238.31         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.116784       0.22303         0               0               1               1               
453.349         2               25.0515         2.80538         67014.8         
103.615         85.8902         -1.28537        2.09084         -98.2294        
-0.299407       -2.0693         8.64252         8.63233         -0.680751       
996.88          1817.12         -14973.2        827.804         14973.2         
75.3942         85.6099         -0.207774       1.07847         179.897         
7415.64         2.35969         1.96443         216.041         1.00432         
-1.50749        -66.0565        0               0               -24.7558        
37.642          38.8944         0               1.05798         -1.53573        
-66.0202        -33.778         5.34667         1.70776         0               
-1.5405         18.5369         1.06002         4.64329         -1.93243        
85.6406         75.7269         -1.1023         -36.1514        14.3476         
-839.293        165.474         -416.943        3.37834         248.433         
0               1803.23         0               0.602996        161.69          
19.8046         0.99926         6.39229         0               0               
0.222921        -0.319233       -2.10279        1.87987         -0.542154       
-2.32572        0.0963111       5.20677         -4.15085        -3.14339        
0               240631          5.6489          -179.622        -82.5909        
0               0               0               0               0               
0               0               0               0               0               
-0.116784       0.22303         0               0               1               1               
433.299         0               5.00147         1.37646         118652          
55.0028         77.9554         -0.0208083      0.336455        -0.044192       
0.336455        -0.000259505    0.122073        -0.131969       2.9603e-005     
135.309         193.249         -1038.26        462.988         1038.26         
55.0022         77.6192         0.240516        0.000186649     238.73          
31764.4         2.61241         2.47489         289.956         0.390148        
-1.25261        -106.006        0               0               -146.402        
49.7435         50              0               0.189925        -1.05382        
-106.179        -53.6163        49534.5         0               0               
0               0               0               0               0               
77.6248         55.0332         0.000810285     -1.62598        0.618879        
0               0.618879        -1.62598        0               0               
61.0546         13867.2         0               0.501043        225.61          
117.122         0.99926         6.39225         0               0               
-0.00586086     -0.0599691      -2.06447e-005   0.00588151      -0.0541083      
0.00584022      0.06583         0               0               0               
0               222031          49534.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               2               1               
450.833         0               22.5355         2.63652         80951.8         
59.9368         86.4889         0.000810285     0.718486        -9.14146        
0.709362        -0.114145       -5.31328        -0.607155       0.330493        
935.072         1670.59         -12978.8        777.975         12978.8         
58.3477         85.7791         0.427658        0.0683975       184.929         
7275.21         2.37479         1.99211         214.028         1.19002         
-1.74098        -84.9445        0               0               -33.7928        
45.6201         46.1341         0               1.05794         -1.58684        
-85.0934        -43.3401        6236.56         0.000505185     0               
-6.82204e-005   12.8919         -6.32982        0.00829388      -0.00267942     
85.782          58.4664         0.0809857       5.14562         -1.71186        
5039.35         -1.71186        5.14562         2.00075         -2518.73        
0               1810.48         0               0.696392        191.911         
27.0342         0.99926         6.39225         0               0               
0.0101233       -0.808213       -0.126541       0.116418        -0.818337       
-0.136664       0.79809         0               0               0               
0               240631          6235.81         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.115605       0.220772        0               0               2               1               
453.34          2               25.0425         2.80226         66733.3         
112.438         81.3338         -2.41535        5.13008         -153.969        
-4.61203        -2.24896        9.33295         -5.88584        -3.23288        
997.28          1806.16         -14985.8        826.878         14985.8         
81.9587         85.1882         -2.41562        1.29003         179.915         
7416.4          2.35975         1.96453         216.034         0.992143        
-1.49296        -65.8512        0               0               -24.7132        
35.6108         38.7339         0               0.677963        -1.14332        
-66.1995        -33.6714        3.51871         -1.38213        0               
-1.77128        17.6896         2.04764         -0.855          -3.27936        
85.1881         82.0464         -2.39178        10.8685         37.1778         
-439.892        147.309         43.0643         3.3781          130.219         
0               1810.48         0               0.597183        161.362         
19.7706         0.99926         6.39225         0               0               
0.556987        5.16874         -0.995639       0.438652        4.61175         
-1.55263        -5.72572        3.54749         2.26173         -2.73299        
0               240631          3.51593         -179.77         -82.4287        
0               0               0               0               0               
0               0               0               0               0               
-0.115605       0.220772        0               0               2               1               
433.289         0               5.00147         1.37646         118652          
55.0033         77.9553         0.0299933       0.336445        0.00512804      
0.336445        3.0112e-005     -0.0917954      -0.131984       0.000193814     
135.308         193.25          -1038.26        462.988         1038.26         
55.0026         77.6191         0.240508        -1.89049e-005   238.73          
31764.4         2.61241         2.47489         289.956         0.39016         
-1.25262        -106.006        0               0               -146.402        
49.7435         50              0               0.189925        -1.05382        
-106.179        -53.6163        49552.2         0               0               
0               0               0               0               0               
77.6099         55.0199         0.000810285     -1.62685        0.607162        
0               0.607162        -1.62685        0               0               
61.0596         13868.4         0               0.501047        225.61          
117.122         0.999261        6.39233         0               0               
-0.00183061     -0.0599698      1.31768e-005    0.00181743      -0.0581392      
0.00184379      0.0618004       0               0               0               
0               222031          49551.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               1               
450.83          0               22.5425         2.63685         80901.4         
59.9484         86.5158         0.286855        0.718784        -8.14357        
0.711537        -0.101816       -5.2276         -0.616153       0.324433        
933.663         1670.12         -12984.4        778.074         12984.4         
58.4851         85.8045         0.428668        0.0608965       184.915         
7275.67         2.37475         1.99203         214.034         1.19098         
-1.74167        -84.8784        0               0               -33.7639        
45.5941         46.108          0               1.05778         -1.58647        
-85.0284        -43.3074        6236.3          6.74804e-005    0               
-0.000222859    12.9172         -6.36513        0.00514899      -0.00386845     
85.7928         58.4382         0.0829359       3.50574         -2.32902        
5039.88         -2.32902        3.50574         2.00075         -2519           
0               1804.95         0               0.696667        191.805         
27.0112         0.999261        6.39233         0               0               
0.00875303      -0.811203       -0.113736       0.104983        -0.819956       
-0.122489       0.80245         0               0               0               
0               240631          6235.55         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.116504       0.220009        0               0               3               1               
453.337         2               25.0495         2.80426         66764.4         
106.161         81.6826         -2.42982        4.52173         -154.098        
-4.06911        -1.97357        17.7883         -4.42608        -4.28265        
996.867         1805.14         -14991.9        827.471         14991.9         
79.828          85.1663         -2.12969        1.13324         179.901         
7416.77         2.3597          1.96446         216.04          1.0122          
-1.51397        -65.8199        0               0               -24.6854        
36.0004         38.7506         0               0.724588        -1.192          
-66.1401        -33.666         3.76238         -2.63579        0               
-2.08337        18.2068         0.776961        -0.452861       -3.77936        
85.1587         79.7223         -2.54836        5.05293         38.4198         
-3240.23        1248.89         164.253         3.3781          959.188         
0               1804.95         0               0.60559         161.312         
19.7484         0.999261        6.39233         0               0               
0.536845        4.56092         -0.834803       0.297958        4.02407         
-1.37165        -5.09776        3.65896         1.82884         -3.16913        
0               240631          4.06477         -179.709        -82.4279        
0               0               0               0               0               
0               0               0               0               0               
-0.116504       0.220009        0               0               3               1               
433.289         0               5.00147         1.37646         118652          
54.9998         77.9548         -0.00849305     0.33635         -0.00675442     
0.33635         -3.9651e-005    0.0916545       -0.132059       -3.99165e-005   
135.316         193.25          -1038.26        462.988         1038.26         
54.9999         77.6187         0.240443        2.78919e-005    238.73          
31764.4         2.61241         2.47489         289.956         0.39016         
-1.25262        -106.006        0               0               -146.402        
49.7436         50              0               0.18993         -1.05382        
-106.179        -53.6163        49552.2         0               0               
0               0               0               0               0               
77.5889         54.9699         -0.000810285    -1.63617        0.75302         
0               0.75302         -1.63617        0               0               
61.0596         13823.5         0               0.501047        225.61          
117.122         0.999261        6.39233         0               0               
0.00183269      -0.0599436      -5.49816e-006   -0.00182719     -0.0617762      
-0.00183818     0.0581109       0               0               0               
0               222031          49551.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               4               1               
450.834         0               22.5465         2.6344          80842.1         
61.2337         86.4748         0.182402        0.69705         -18.4609        
0.661183        -0.220721       -6.90876        -0.643055       0.429057        
919.025         1670.7          -12977.3        777.351         12977.3         
58.1432         85.81           0.398974        0.132531        184.907         
7275.08         2.37472         1.99199         214.037         1.18306         
-1.73353        -84.8887        0               0               -33.8063        
45.5846         46.0824         0               1.06283         -1.59047        
-85.0262        -43.3083        6236.54         0.000524284     0               
-9.10547e-005   12.9697         -6.27841        0.00703914      -0.00355538     
85.7783         58.0865         0.0824891       4.50008         -2.16144        
5038.31         -2.16144        4.50008         2.00075         -2518.21        
0               1768.48         0               0.693413        191.822         
27.0451         0.999261        6.39233         0               0               
0.021793        -0.746138       -0.239351       0.217558        -0.767931       
-0.261144       0.724345        0               0               0               
0               240631          6235.79         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.116112       0.220737        0               0               4               1               
453.342         2               25.0545         2.80181         66736.5         
52.8473         78.287          -1.14539        6.28112         167.517         
-6.13377        1.35511         64.7249         -10.6656        -13.1464        
991.905         1808.74         -14983.5        826.745         14983.5         
65.0547         84.3358         -3.17872        -0.712518       179.891         
7416.26         2.35967         1.9644          216.044         1.06098         
-1.56358        -65.7882        0               0               -24.7249        
34.9285         38.7419         0               0.546912        -1.00681        
-66.3475        -33.6771        8.1803          -1.9802         0               
-0.448762       15.429          -11.6555        -4.72618        -4.99774        
84.307          64.9821         -1.13005        26.0733         28.6551         
-624.914        324.572         295.329         3.37822         184.983         
0               1768.48         0               0.625432        161.261         
19.7799         0.999261        6.39233         0               0               
-0.170497       7.12944         1.49197         -1.32147        7.29994         
1.66246         -6.95894        8.18795         0.694319        -8.15846        
0               240631          8.24455         -179.184        -82.312         
0               0               0               0               0               
0               0               0               0               0               
-0.116112       0.220737        0               0               4               1               
433.299         0               5.00147         1.37646         118652          
54.9984         77.9556         -0.0586456      0.3365          -0.0492491      
0.3365          -0.00028924     -0.135522       -0.131935       -0.000206525    
135.315         193.243         -1038.26        462.988         1038.26         
54.9986         77.6194         0.240549        0.000207808     238.73          
31764.4         2.61241         2.47489         289.956         0.390146        
-1.25261        -106.006        0               0               -146.402        
49.7435         50              0               0.189923        -1.05382        
-106.179        -53.6164        49534.5         0               0               
0               0               0               0               0               
77.6276         55.0443         -0.000810285    -1.68286        0.63979         
0               0.63979         -1.68286        0               0               
61.0546         13837.8         0               0.501043        225.61          
117.122         0.99926         6.39225         0               0               
0.00401923      -0.0599755      -2.39711e-005   -0.00399526     -0.0639948      
-0.0040432      0.0559563       0               0               0               
0               222031          49534.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               5               1               
450.837         0               22.5395         2.6344          80906.3         
60.2472         86.4743         0.000810285     0.697906        -11.7914        
0.68318         -0.142613       -5.63805        -0.657497       0.349889        
937.366         1677.21         -12972.2        777.351         12972.2         
58.2685         85.79           0.412005        0.0855269       184.921         
7274.67         2.37476         1.99207         214.032         1.18906         
-1.73961        -84.9535        0               0               -33.8319        
45.6166         46.1156         0               1.06104         -1.58922        
-85.0985        -43.3439        6237.26         0.000396934     0               
-0.000105212    13.0695         -6.24906        0.00578584      -0.00356807     
85.7972         58.4152         0.0789332       3.84624         -2.16641        
5037.98         -2.16641        3.84624         2.00075         -2518.05        
0               1786.54         0               0.695843        191.926         
27.0655         0.99926         6.39225         0               0               
0.0133662       -0.774867       -0.156561       0.143195        -0.788233       
-0.169928       0.761501        0               0               0               
0               240631          6236.51         0               0               
0               0               0               0               0               
0               0               0               0               0               
-0.115086       0.221902        0               0               5               1               
453.345         2               25.0475         2.80134         66763.8         
124.098         83.2543         -2.20351        4.49008         -141.154        
-3.49985        -2.81455        -1.55448        0.239894        0.575814        
998.351         1810.59         -14978.7        826.61          14978.7         
82.7939         85.5333         -1.8847         1.56251         179.905         
7415.98         2.35972         1.96448         216.038         0.949788        
-1.44951        -65.9432        0               0               -24.7435        
36.0236         38.7557         0               0.775589        -1.24456        
-66.144         -33.6943        1.8011          3.214           0               
-0.898313       16.1189         5.52461         0.868707        -1.55078        
85.536          82.9376         -2.11471        -18.6793        33.9572         
-3025.82        481.025         -264.604        3.37822         895.684         
0               1786.54         0               0.579803        161.509         
19.7948         0.99926         6.39225         0               0               
0.571191        3.33468         -1.82754        1.25634         2.76349         
-2.39873        -3.90587        1.71421         0.41322         -1.66366        
0               240631          2.20495         -179.809        -82.5382        
0               0               0               0               0               
0               0               0               0               0               
-0.115086       0.221902        0               0               5               1               
433.289         0               5.00147         1.37646         118652          
55.0001         77.9559         0.0618197       0.336554        0.0652456       
0.336554        0.000383249     -0.103046       -0.131885       0.000158214     
135.309         193.244         -1038.26        462.988         1038.26         
55.0002         77.6196         0.240589        -0.000274836    238.73          
31764.4         2.61241         2.47489         289.956         0.390141        
-1.2526         -106.006        0               0               -146.402        
49.7435         50              0               0.189921        -1.05382        
-106.179        -53.6164        49552.2         0               0               
0               0               0               0               0               
77.6185         54.9555         0.000810285     -1.66452        0.659943        
0               0.659943        -1.66452        0               0               
61.0596         13827.1         0               0.501041        225.61          
117.122         0.999259        6.39221         0               0               
-0.00149398     -0.0599797      3.34646e-005    0.00146052      -0.0584857      
0.00152745      0.0614737       0               0               0               
0               222031          49551.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               6               1               
450.833         0               22.5455         2.63498         80867.9         
60.8104         86.4656         0.504511        0.677453        -13.3673        
0.659101        -0.156619       -5.87349        -0.676551       0.366486        
929.266         1676.27         -12978          777.521         12978           
58.5716         85.8059         0.397537        0.0938957       184.909         
7275.14         2.37473         1.992           214.036         1.18778         
-1.73824        -84.8962        0               0               -33.8013        
45.611          46.0952         0               1.06267         -1.59051        
-85.0384        -43.3145        6238.54         0.000433103     0               
-0.000123183    12.9898         -6.34252        0.008449        -0.00314592     
85.7986         58.3164         0.0796816       5.24133         -1.95384        
5038.63         -1.95384        5.24133         2.00075         -2518.37        
0               1769.96         0               0.695297        191.834         
27.0411         0.999259        6.39221         0               0               
0.0149134       -0.745789       -0.171695       0.156781        -0.760702       
-0.186608       0.730876        0               0               0               
0               240631          6237.79         0               0               
0               0               0               0               0               
0               0               0               0               0               
