1 input_SAM_RF_AC_Radar_#1_#2_#3.asc  Feb 14 2018 11:31:38
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
55.723          0               5.002           1.40247         127709          
-90.0006        44.9329         0.0167395       1.06743         0.0213707       
1.06743         0.000398116     0.138201        -0.431557       0.00011326      
-0.00293101     -808.646        -739.641        473.361         739.641         
-90.0005        43.8663         0.822781        -0.000311308    238.723         
31661.1         2.61238         2.47485         289.94          0.399851        
-1.31586        -113.534        0               0               -151.431        
49.1211         50              0               0.169028        -1.09545        
-113.733        -57.4141        17851           0               1               
0               0               0               0               0               
43.9009         -90.0212        0.000810285     5.5292          0.00195339      
0               0.00195339      5.5292          0               0               
-90.0535        17843.5         0               0.526343        237.655         
121.145         1.05769         6.69577         0               0               
0.000885465     -0.199102       3.24453e-005    -0.00091791     -0.199988       
-0.00085302     0.198217        0               0               0               
0               122031          17850.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               1               1               
68.531          0               17.81           2.21092         141356          
-89.9403        37.3816         0.0116504       1.36286         -179.896        
-1.36286        -0.0024684      -0.0438546      -1.40267        0.00289179      
5.80216         -6661.97        -6964.78        690.818         6964.78         
-89.943         38.7441         -1.33165        0.00230418      194.38          
6500.43         2.40314         2.04409         217.037         1.32351         
-2.22814        -161.191        0               0               -76.4285        
48.3609         50              0               1.07239         -1.95917        
-161.445        -81.7022        6908.51         0               1               
0               0               0               0               0               
38.7841         -89.9617        0.000810285     -1.51791        1.76269         
2785.28         1.76269         -1.51791        3.1             0               
0               6905.58         0               0.891256        313.906         
61.1428         1.05769         6.69577         0               0               
-0.000504899    1.51716         -0.0030295      0.0035344       1.51766         
-0.0025246      -1.51665        0               0               0               
0               140731          6907.83         0               0               
0               0               -0.101203       -11.3154        6906.5          
-898.478        34.8651         0.0798678       -0.00015824     -0.00138495     
-0.00164312     -0.195946       -0.00798731     0.00620628      1               1               
75.827          2               25.106          2.6069          126021          
-88.3713        34.8689         -0.126123       1.74759         -42.8972        
1.28043         -1.18946        -4.69896        -0.986969       6.36338         
-0.870597       -11042.6        -10002.6        780.837         10002.6         
-89.8024        33.5789         1.26594         1.08249         179.788         
6965.79         2.35936         1.96383         216.085         1.18352         
-2.05348        -130.896        0               0               -53.8347        
47.9974         50              0               1.09238         -1.93694        
-131.004        -66.4704        2.68684         0               1               
0               0               0               0               0               
33.6179         -89.8201        -0.13097        35.963          -34.7371        
-113.758        -89.4228        92.5786         3.1             0               
0               6905.58         0               0.82139         265.434         
43.0677         1.05769         6.69577         0               0               
0.112864        -1.28939        -1.68738        1.57452         -1.40226        
-1.80024        1.17653         2.70649         -2.56303        -0.869461       
0               140731          2.83664         -179.857        -64.379         
0               0               102.172         -71.5729        1.83848         
36.6963         177.863         125.939         1.5613          -1.54716        
0.0256855       -0.187227       -7.73511        7.70648         1               1               
55.723          0               5.002           1.40247         127709          
-89.9986        44.933          -0.0252716      1.06743         -0.0365439      
1.06743         -0.000680783    0.11524         -0.431551       -9.97454e-005   
0.00749065      -808.646        -739.641        473.361         739.641         
-89.9989        43.8663         0.822791        0.000534554     238.723         
31661.1         2.61238         2.47485         289.94          0.399835        
-1.31584        -113.534        0               0               -151.431        
49.1211         50              0               0.169027        -1.09545        
-113.733        -57.4141        17851           0               1               
0               0               0               0               0               
43.8358         -90.0073        -0.000810285    5.6684          0.0153525       
0               0.0153525       5.6684          0               0               
-89.9689        17858.2         0               0.526338        237.655         
121.145         1.05769         6.69566         0               0               
0.00128636      -0.19909        -4.66212e-005   -0.00123974     -0.200377       
-0.00133298     0.197804        0               0               0               
0               122031          17850.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               2               1               
68.549          0               17.828          2.21038         140827          
-89.9813        37.5601         -0.0224951      1.38577         179.996         
-1.38577        8.83523e-005    -0.0329735      -1.41467        0.00367258      
1.28092         -6645.99        -6988.07        690.437         6988.07         
-89.9819        38.9456         -1.34911        -4.63411e-005   194.344         
6504.66         2.40303         2.04389         216.996         1.32444         
-2.22547        -160.697        0               0               -76.2063        
48.3393         50              0               1.07074         -1.95437        
-160.954        -81.454         6908.63         0               1               
0               0               0               0               0               
38.9166         -89.9935        0.000810285     1.19883         -3.84006        
2782.16         -3.84006        1.19883         3.1             0               
0               6909.95         0               0.890188        313.115         
60.9651         1.05769         6.69566         0               0               
-0.000555436    1.54281         0.000321943     0.000233492     1.54337         
0.000877379     -1.54225        0               0               0               
0               140731          6907.96         0               0               
0               0               -0.0328787      -11.7093        6907.93         
-897.47         34.8604         0.0519304       -0.000284215    -0.000860641    
-0.000291944    -0.203684       0.00140209      -0.0135357      2               1               
75.847          2               25.126          2.60199         125660          
-92.0993        35.9275         0.16534         3.49158         27.5781         
3.09569         1.61567         5.74334         9.29319         -6.89572        
4.10435         -11040.4        -9996.75        779.431         9996.75         
-90.1809        32.8048         2.94506         -1.5613         179.748         
6965.05         2.35924         1.96361         216.101         1.15324         
-2.02309        -130.734        0               0               -53.8932        
45.9822         50              0               0.963391        -1.82433        
-130.932        -66.3781        5.71489         0               1               
0               0               0               0               0               
32.7725         -90.1946        0.188472        35.6976         -35.0097        
418.994         -263.199        268.371         3.1             0               
0               6909.95         0               0.809236        265.174         
43.1146         1.05769         6.69566         0               0               
-0.154964       -3.80126        1.83605         -1.68109        -3.64629        
1.99102         3.95622         5.69335         3.94012         4.10971         
0               140731          5.66816         179.869         -64.9891        
0               0               -75.8081        41.1741         5.07011         
-135.159        160.241         101.109         -1.24479        1.25084         
-0.0396512      -0.112813       6.25008         -6.15541        2               1               
55.723          0               5.002           1.40248         127709          
-90             44.9324         0.0163709       1.06733         0.0165044       
1.06733         0.000307432     0.0801775       -0.431631       0.000173496     
0.000725531     -808.649        -739.637        473.361         739.637         
-90             43.8658         0.822702        -0.000242009    238.723         
31661.1         2.61238         2.47485         289.94          0.399856        
-1.31586        -113.534        0               0               -151.431        
49.1212         50              0               0.169032        -1.09545        
-113.733        -57.4142        17851           0               1               
0               0               0               0               0               
43.863          -90.0087        0.000810285     5.58747         0.00512692      
0               0.00512692      5.58747         0               0               
-90.0098        17853.1         0               0.526345        237.655         
121.145         1.05769         6.69581         0               0               
-0.00552225     -0.199089       2.00219e-005    0.00550223      -0.193566       
0.00554228      0.204611        0               0               0               
0               122031          17850.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               1               
68.537          0               17.816          2.21082         141158          
-89.9804        37.4506         0.0114899       1.38064         179.977         
-1.38064        0.000552004     -0.0399431      -1.41578        -0.00124906     
2.14795         -6655.1         -6974.1         690.7           6974.1          
-89.9793        38.8309         -1.34701        -0.000344613    194.368         
6502.12         2.4031          2.04402         217.023         1.32387         
-2.22714        -161.001        0               0               -76.3398        
48.3418         50              0               1.07077         -1.95648        
-161.256        -81.6065        6909.24         0               1               
0               0               0               0               0               
38.8316         -89.9843        0.000810285     5.19157         4.00303         
2784.12         4.00303         5.19157         3.1             0               
0               6913.42         0               0.890854        313.601         
61.0718         1.05769         6.69581         0               0               
-0.000478327    1.53796         0.00166099      -0.00118266     1.53844         
0.00213931      -1.53748        0               0               0               
0               140731          6908.56         0               0               
0               0               -0.0335357      -11.4734        6907.53         
-898.103        34.8615         0.0230781       0.000335862     -0.000222341    
-0.000853317    -0.199842       0.0151798       0.0141002       3               1               
75.833          2               25.112          2.60363         125814          
-90.576         37.051          0.0451939       3.79956         4.06864         
3.79001         0.269388        1.76846         11.8398         -1.90793        
-0.495097       -11044.1        -9996.97        779.918         9996.97         
-90.2568        33.2505         3.51193         -0.252872       179.776         
6965.07         2.35933         1.96377         216.09          1.25812         
-2.12228        -130.73         0               0               -53.8845        
45.6464         50              0               0.912655        -1.78061        
-131.08         -66.4302        3.89418         0               1               
0               0               0               0               0               
33.2476         -90.2588        0.0219077       -35.1783        35.5315         
-290.745        236.762         -234.408        3.1             0               
0               6913.42         0               0.848911        265.168         
43.1076         1.05769         6.69581         0               0               
-0.0260089      -5.11225        0.368747        -0.342738       -5.08624        
0.394756        5.13826         3.90316         3.87272         -0.486538       
0               140731          3.88003         179.814         -64.6405        
0               0               33.4763         77.344          3.9517          
93.7889         164.57          129.32          -1.61134        1.58046         
-0.0215349      -0.11407        7.90146         -7.98409        3               1               
55.712          0               5.002           1.40247         127709          
-90.0007        44.9327         -0.00691652     1.06739         7.23232e-005    
1.06739         1.34727e-006    -0.012788       -0.431557       -0.000208695    
-0.00422919     -808.647        -739.639        473.361         739.639         
-90.0005        43.8661         0.822751        -1.32927e-006   238.723         
31661.1         2.61238         2.47485         289.94          0.399873        
-1.31587        -113.534        0               0               -151.431        
49.1211         50              0               0.169029        -1.09545        
-113.733        -57.4142        17853.3         0               1               
0               0               0               0               0               
43.8673         -90.0051        -0.000810285    5.5931          0.0122879       
0               0.0122879       5.5931          0               0               
-89.9994        17860.8         0               0.526349        237.655         
121.145         1.05769         6.69591         0               0               
0.00353364      -0.199106       -6.59898e-007   -0.00353298     -0.20264        
-0.0035343      0.195573        0               0               0               
0               122031          17852.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               4               1               
68.53           0               17.82           2.21073         141113          
-89.9714        37.442          -0.000810285    1.37589         -179.876        
-1.37588        -0.00298557     -0.0464974      -1.40657        0.00489092      
3.41785         -6656.85        -6975.8         690.657         6975.8          
-89.9753        38.8175         -1.34218        0.00307074      194.36          
6502.43         2.40308         2.04398         217.014         1.32381         
-2.22683        -160.965        0               0               -76.3243        
48.3479         50              0               1.0714          -1.95677        
-161.22         -81.5886        6908.49         0               1               
0               0               0               0               0               
38.8221         -89.9839        0.000810285     -2.81753        1.7605          
2784.08         1.7605          -2.81753        3.1             0               
0               6915.24         0               0.890732        313.544         
61.0595         1.05769         6.69591         0               0               
-0.000510579    1.53169         -0.00228616     0.00279673      1.5322          
-0.00177558     -1.53118        0               0               0               
0               140731          6907.82         0               0               
0               0               -0.055406       -11.4775        6907.91         
-898.092        34.8628         0.0463222       -0.000562055    -0.000581142    
-0.000459006    -0.199631       -0.0124692      0.00620127      4               1               
75.822          2               25.112          2.61071         126502          
-90.3845        35.3947         0.0348221       2.66308         7.97819         
2.63734         0.369494        1.88056         10.3441         -2.41236        
0.391605        -11046          -9996.81        782.044         9996.81         
-89.9454        32.7472         2.43959         -0.34617        179.776         
6965.05         2.35933         1.96377         216.09          1.24621         
-2.11544        -131.163        0               0               -53.8724        
46.9313         50              0               0.991793        -1.85332        
-131.427        -66.6399        3.73924         0               1               
0               0               0               0               0               
32.7493         -89.9563        0.0344483       -30.8312        39.3629         
-981.556        1150.15         -900.863        3.1             0               
0               6915.24         0               0.846176        265.861         
43.0979         1.05769         6.69591         0               0               
-0.0346307      -3.68518        0.501453        -0.466823       -3.65055        
0.536084        3.71981         3.5714          3.54999         0.390527        
0               140731          3.56452         -179.96         -65.0134        
0               0               -16.2736        67.5517         4.28098         
316.631         163.177         167.94          -2.31045        1.80365         
-0.0377287      -0.0821509      9.01388         -11.483         4               1               
55.723          0               5.002           1.40248         127709          
-89.9997        44.9325         -0.000810285    1.06736         -0.00426326     
1.06736         -7.94154e-005   -0.129187       -0.431607       8.68527e-005    
0.00138394      -808.649        -739.638        473.361         739.638         
-89.9998        43.8659         0.822727        6.08815e-005    238.723         
31661.1         2.61238         2.47485         289.94          0.399869        
-1.31587        -113.534        0               0               -151.431        
49.1212         50              0               0.169031        -1.09545        
-113.733        -57.4142        17851           0               1               
0               0               0               0               0               
43.8692         -89.9769        -0.000810285    5.56132         -0.00393744     
0               -0.00393744     5.56132         0               0               
-89.9823        17860.4         0               0.526348        237.655         
121.145         1.05769         6.69589         0               0               
0.00595668      -0.199093       -1.10275e-005   -0.00594565     -0.20505        
-0.0059677      0.193137        0               0               0               
0               122031          17850.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               5               1               
68.541          0               17.82           2.21076         141063          
-90.0228        37.5062         -0.000810285    1.36861         -179.875        
-1.36861        -0.00299551     0.0125615       -1.41151        0.00184917      
-2.7509         -6652.43        -6978.56        690.642         6978.56         
-90.0268        38.8745         -1.33473        0.00298269      194.36          
6502.93         2.40308         2.04398         217.014         1.32379         
-2.22645        -160.911        0               0               -76.2978        
48.3572         50              0               1.07212         -1.95707        
-161.166        -81.5614        6908.78         0               1               
0               0               0               0               0               
38.8803         -90.0039        -0.000810285    6.36322         0.385375        
2783.66         0.385375        6.36322         3.1             0               
0               6916.82         0               0.890582        313.458         
61.0382         1.05769         6.69589         0               0               
0.000702129     1.5231          -0.0027845      0.00208237      1.5224          
-0.00348663     -1.5238         0               0               0               
0               140731          6908.11         0               0               
0               0               0.0436385       -11.5684        6906.96         
-897.953        34.8635         0.0463537       -0.000243327    -0.000771564    
0.00110479      -0.201127       0.0192275       0.00135763      5               1               
75.838          2               25.117          2.60436         125870          
-92.5107        35.0237         0.235425        2.86247         41.4583         
2.14603         1.89473         6.07327         5.61421         -7.66613        
2.86388         -11042.2        -9997.69        780.13          9997.69         
-90.2582        32.845          2.05197         -1.80286        179.766         
6965.17         2.3593          1.96371         216.094         1.12987         
-2.00218        -130.884        0               0               -53.8793        
46.7086         50              0               1.03062         -1.88348        
-130.996        -66.4397        4.0831          0               1               
0               0               0               0               0               
32.848          -90.2336        0.238027        -35.868         34.8351         
-376.577        309.278         -318.449        3.1             0               
0               6916.82         0               0.800873        265.414         
43.1034         1.05769         6.69589         0               0               
-0.186829       -2.61645        2.25834         -2.07152        -2.42962        
2.44517         2.80328         4.04883         2.85611         2.86978         
0               140731          4.03185         179.813         -64.9524        
0               0               -73.6435        41.8355         3.04925         
121.477         169.073         133.117         -1.62875        1.65681         
-0.0304247      -0.122387       8.28203         -8.05052        5               1               
55.723          0               5.002           1.40248         127709          
-90.0016        44.9328         0.0286885       1.06741         0.0413036       
1.06741         0.000769436     -0.11447        -0.431571       0.000140734     
-0.00897302     -808.647        -739.64         473.361         739.64          
-90.0013        43.8662         0.822771        -0.000600596    238.723         
31661.1         2.61238         2.47485         289.94          0.39983         
-1.31584        -113.534        0               0               -151.431        
49.1211         50              0               0.169028        -1.09545        
-113.733        -57.4142        17851           0               1               
0               0               0               0               0               
43.852          -90.0114        0.000810285     5.59            0.0267296       
0               0.0267296       5.59            0               0               
-90.0063        17851.9         0               0.526337        237.655         
121.145         1.05769         6.69563         0               0               
-0.00129844     -0.1991         6.50137e-005    0.00123343      -0.197801       
0.00136346      0.200398        0               0               0               
0               122031          17850.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               6               1               
68.537          0               17.816          2.21066         141156          
-89.9384        37.4407         0.0324023       1.37727         179.725         
-1.37725        0.00660584      0.0154644       -1.41101        -0.00411599     
7.48266         -6655.79        -6973.18        690.66          6973.18         
-89.9289        38.8176         -1.34398        -0.00664819     194.368         
6501.95         2.4031          2.04402         217.023         1.32345         
-2.22679        -161.007        0               0               -76.3476        
48.3458         50              0               1.07119         -1.95685        
-161.262        -81.6094        6909.03         0               1               
0               0               0               0               0               
38.8065         -89.9369        0.000810285     -8.48532        6.61493         
2784.33         6.61493         -8.48532        3.1             0               
0               6908.42         0               0.890715        313.611         
61.0781         1.05769         6.69563         0               0               
