1 input_SAM_RF_AC_Radar_#3.asc ' SAM vs AC ' Feb 14 2018 11:31:41
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
83.899          0               5.001           1.42135         134871          
-160.002        29.9914         0.036111        1.24186         0.0484867       
1.24186         0.00105085      0.0389684       -0.512512       0.00022258      
-936.277        -340.767        -508.156        481.004         508.156         
-160.001        28.7505         1.01222         -0.000871763    238.736         
31579           2.61244         2.47492         289.97          0.406471        
-1.36456        -119.441        0               0               -155.345        
48.9174         50              0               0.168556        -1.13785        
-119.646        -60.3921        18164.8         0               1               
0               0               0               0               0               
28.7514         -160.028        0.000810285     0.633702        -1.43463        
0               -1.43463        0.633702        0               0               
-163.506        18156.1         0               0.545824        247.105         
124.276         1.10339         6.92337         0               0               
-0.00383789     -0.239224       8.4558e-005     0.00375333      -0.235386       
0.00392245      0.243062        0               0               0               
0               122031          18164.3         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               1               1               
98.337          0               19.439          2.04786         178697          
177.59          12.6433         0.204434        1.92364         100.437         
-0.348618       1.8918          0.496522        -1.14916        -2.1436         
-9726.94        -1929.91        -4098.89        663.899         4098.89         
179.533         12.9779         -0.442661       -2.35103        191.122         
5886.22         2.39337         2.02617         213.29          1.2937          
-2.52341        -213.843        0               0               -107.355        
47.0679         50              0               1.29539         -2.45673        
-213.874        -108.165        6924.37         0               1               
0               0               0               0               0               
12.9728         179.515         0.175348        2.65708         -3.358          
2084.72         -3.358          2.65708         2.8             0               
0               6914.65         0               1.00936         398.148         
85.8841         1.10339         6.92337         0               0               
-0.2487         0.370471        1.88534         -1.63664        0.61917         
2.13404         -0.121771       0               0               0               
0               140731          6923.71         0               0               
0               0               2.15562         -5.14821        6928.23         
-744.544        34.8124         0.223579        -0.00388991     -0.000309277    
0.0413471       -0.0895305      0.00781894      -0.0157686      1               1               
108.771         2               29.873          2.01976         154366          
153.361         8.23586         -0.233372       3.93533         -47.1177        
2.68023         -2.88257        -0.363035       10.485          2.81567         
-15700.2        553.63          -4998.85        647.434         4998.85         
150.476         5.52827         3.14677         3.52699         170.254         
6100.22         2.33076         1.9114          219.898         1.47651         
-2.66999        -183.061        0               0               -101.766        
44.0418         50              0               1.38871         -2.55505        
-183.158        -92.8567        1.30878         0               1               
0               0               0               0               0               
5.51244         150.457         -0.249854       49.8986         -3.18275        
1277.35         -29.0628        455.642         2.8             0               
0               6914.65         0               1.06799         348.897         
81.4128         1.10339         6.92337         0               0               
0.342778        -3.42566        -2.9456         2.60282         -3.76844        
-3.28838        3.08288         1.30452         1.22074         -0.459969       
0               140731          1.544           102.713         -84.5315        
0               0               106.149         71.3463         3.74624         
-456.197        165.497         42.2999         -0.0473727      0.736751        
0.323993        0.0247637       3.49125         -0.211551       1               1               
83.909          0               5.001           1.42136         134871          
-160            29.9905         -0.00470304     1.24171         -0.0095085      
1.24171         -0.000206052    -0.115973       -0.5126         3.68812e-005    
-936.276        -340.78         -508.149        481.004         508.149         
-160            28.7497         1.01209         0.000168164     238.736         
31579           2.61244         2.47492         289.97          0.40652         
-1.3646         -119.441        0               0               -155.345        
48.9176         50              0               0.168563        -1.13786        
-119.646        -60.3922        18163.4         0               1               
0               0               0               0               0               
28.7446         -160.062        0.000810285     0.668439        -1.3971         
0               -1.3971         0.668439        0               0               
-163.462        18168.8         0               0.545839        247.105         
124.276         1.1034          6.9237          0               0               
-0.00150195     -0.23922        -2.66227e-005   0.00152857      -0.237718       
0.00147533      0.240722        0               0               0               
0               122031          18162.9         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               2               1               
98.349          0               19.441          2.04874         178580          
177.668         12.6713         0.175454        1.91429         100.743         
-0.356951       1.88073         0.494793        -1.15425        -2.128          
-9724.32        -1936.91        -4110.51        664.09          4110.51         
179.6           13.0153         -0.452622       -2.33625        191.118         
5889.12         2.39335         2.02615         213.286         1.2942          
-2.52277        -213.658        0               0               -107.223        
47.0838         50              0               1.29412         -2.45468        
-213.69         -108.072        6924.5          0               1               
0               0               0               0               0               
13.0171         179.542         0.174671        1.64558         4.60179         
2083.99         4.60179         1.64558         2.8             0               
0               6933.28         0               1.00911         397.852         
85.7787         1.1034          6.9237          0               0               
-0.247382       0.380589        1.87361         -1.62623        0.627971        
2.12099         -0.133207       0               0               0               
0               140731          6923.84         0               0               
0               0               1.995           -5.27609        6921.28         
-744.282        34.8283         0.157391        -0.00257556     -0.000955253    
0.0372888       -0.091068       0.00321318      0.0216539       2               1               
108.805         2               29.897          2.01088         153032          
154.397         8.84307         -0.320531       5.09435         -50.0457        
3.27654         -3.90298        -1.12055        11.3028         6.47242         
-15696.9        561.112         -4997.8         644.589         4997.8          
150.492         5.52311         3.9153          4.75705         170.206         
6099.98         2.33062         1.91113         219.918         1.39731         
-2.598          -182.218        0               0               -101.647        
42.3229         50              0               1.34829         -2.51966        
-182.279        -92.3993        2.28583         0               1               
0               0               0               0               0               
5.5191          150.429         -0.32698        -25.3929        -43.072         
-538.467        -805.469        -474.861        2.8             0               
0               6933.28         0               1.0392          347.548         
81.3179         1.1034          6.9237          0               0               
0.455266        -3.86482        -3.98382        3.52855         -4.32009        
-4.43908        3.40956         2.23484         2.22308         -0.22895        
0               140731          2.23949         102.822         -84.5392        
0               0               11.3887         73.8962         2.76264         
192.31          170.788         186.833         2.73557         1.77476         
0.347087        0.0540258       8.38423         13.7948         2               1               
83.899          0               5.001           1.42136         134871          
-160            29.9905         0.00308166      1.24174         0.00269204      
1.24174         5.83384e-005    0.145073        -0.51256        6.27781e-005    
-936.276        -340.778        -508.15         481.004         508.15          
-160            28.7498         1.01211         -4.9715e-005    238.736         
31579           2.61244         2.47492         289.97          0.406528        
-1.3646         -119.441        0               0               -155.345        
48.9176         50              0               0.168562        -1.13786        
-119.646        -60.3922        18164.8         0               1               
0               0               0               0               0               
28.7641         -159.993        0.000810285     0.616619        -1.41057        
0               -1.41057        0.616619        0               0               
-163.434        18157.3         0               0.545842        247.105         
124.276         1.1034          6.92375         0               0               
-0.00408416     -0.23924        1.17873e-006    0.00408298      -0.235156       
0.00408534      0.243324        0               0               0               
0               122031          18164.3         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               1               
98.335          0               19.437          2.04758         178739          
177.575         12.6062         0.173512        1.92511         100.531         
-0.351961       1.89267         0.492798        -1.15383        -2.13518        
-9727.27        -1928.48        -4095.01        663.841         4095.01         
179.518         12.9451         -0.446841       -2.35279        191.126         
5885.25         2.39338         2.02619         213.295         1.29373         
-2.52377        -213.903        0               0               -107.399        
47.0649         50              0               1.29512         -2.45683        
-213.935        -108.196        6924.71         0               1               
0               0               0               0               0               
12.9606         179.522         0.175429        -4.95365        -0.450026       
2085.18         -0.450026       -4.95365        2.8             0               
0               6924.33         0               1.00951         398.245         
85.919          1.1034          6.92375         0               0               
-0.248901       0.374898        1.88557         -1.63667        0.623799        
2.13447         -0.125997       0               0               0               
0               140731          6924.05         0               0               
0               0               2.1832          -5.07986        6923.54         
-744.706        34.823          0.133031        -0.00223101     -0.000642999    
0.0403838       -0.0878459      -0.027787       -0.00210073     3               1               
108.775         2               29.877          2.01308         153377          
156.009         7.21139         -0.445365       5.42373         -69.8446        
1.87378         -5.09068        -2.26632        6.00662         13.0896         
-15699.4        555.283         -4997.3         645.298         4997.3          
150.903         5.27218         2.29884         5.97915         170.246         
6099.87         2.33074         1.91135         219.902         1.29832         
-2.52075        -182.555        0               0               -101.678        
41.9089         50              0               1.4538          -2.59179        
-182.448        -92.5198        3.03429         0               1               
0               0               0               0               0               
5.2889          150.897         -0.441386       -33.1066        -37.4693        
-247.821        -223.355        -197.349        2.8             0               
0               6924.33         0               1.0083          348.088         
81.3424         1.1034          6.92375         0               0               
0.619256        -2.06304        -5.80248        5.18322         -2.6823         
-6.42174        1.44378         3.07825         2.72494         -1.43189        
0               140731          3.10409         103.165         -84.8006        
0               0               81.3098         64.9141         2.37164         
88.5074         173.439         133.164         1.63256         1.6542          
0.371145        0.034996        7.73176         8.23708         3               1               
83.899          0               5.001           1.42136         134871          
-160            29.9909         0.0185688       1.24178         0.0213252       
1.24178         0.000462147     -0.149316       -0.512554       0.000158026     
-936.276        -340.775        -508.153        481.004         508.153         
-160            28.75           1.01215         -0.000385253    238.736         
31579           2.61244         2.47492         289.97          0.406505        
-1.36459        -119.441        0               0               -155.345        
48.9175         50              0               0.16856         -1.13786        
-119.646        -60.3921        18164.8         0               1               
0               0               0               0               0               
28.7428         -159.983        -0.000810285    0.665988        -1.4408         
0               -1.4408         0.665988        0               0               
-163.477        18168           0               0.545834        247.105         
124.276         1.1034          6.92359         0               0               
0.00158933      -0.239228       3.04577e-005    -0.00161979     -0.240817       
-0.00155887     0.237638        0               0               0               
0               122031          18164.3         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               4               1               
98.341          0               19.443          2.04886         178459          
177.563         12.6966         0.192519        1.91993         100.834         
-0.361002       1.8857          0.496446        -1.14286        -2.13575        
-9724.55        -1922.74        -4116.6         664.078         4116.6          
179.5           13.044          -0.457874       -2.3412         191.114         
5890.63         2.39334         2.02613         213.281         1.29377         
-2.52153        -213.522        0               0               -107.149        
47.0771         50              0               1.29368         -2.45345        
-213.555        -108.004        6924.09         0               1               
0               0               0               0               0               
13.0344         179.527         0.175288        -2.06927        -2.57727        
2085.21         -2.57727        -2.06927        2.8             0               
0               6929.48         0               1.00861         397.636         
85.7194         1.1034          6.92359         0               0               
-0.248088       0.38342         1.87758         -1.62949        0.631509        
2.12567         -0.135332       0               0               0               
0               140731          6923.43         0               0               
0               0               2.2356          -5.34842        6924.32         
-744.717        34.8205         0.180811        -0.00315518     5.9457e-005     
0.0422519       -0.0935289      -0.0143052      -0.012096       4               1               
108.752         2               29.854          2.02104         154600          
156.377         7.8495          -0.449245       6.09667         -64.4117        
2.64127         -5.49677        -3.11746        7.97687         16.5734         
-15701.6        552.122         -4996.96        647.851         4996.96         
150.868         5.13524         3.31025         6.61599         170.292         
6099.79         2.33088         1.91161         219.883         1.26071         
-2.49827        -183.434        0               0               -101.799        
40.775          50              0               1.39061         -2.55755        
-183.344        -92.9508        4.63708         0               1               
0               0               0               0               0               
5.11644         150.892         -0.461683       -32.4039        -38.0787        
-375.03         -348.619        -296.666        2.8             0               
0               6929.48         0               0.999309        349.495         
81.439          1.1034          6.92359         0               0               
0.652228        -2.7619         -6.03177        5.37954         -3.41412        
-6.684          2.10967         4.64451         3.1087          -3.45072        
0               140731          4.85149         103.044         -84.9327        
0               0               103.678         43.8381         5.52192         
133.939         158.757         132.313         1.62333         1.64246         
0.425801        0.0689423       7.50561         8.30233         4               1               
83.909          0               5.001           1.42136         134871          
-160            29.9906         -0.00733796     1.24173         -0.00849769     
1.24173         -0.00018415     0.131923        -0.512595       -6.29292e-005   
-936.276        -340.777        -508.15         481.004         508.15          
-160            28.7498         1.01211         0.000153325     238.736         
31579           2.61244         2.47492         289.97          0.406521        
-1.3646         -119.441        0               0               -155.345        
48.9176         50              0               0.168562        -1.13786        
-119.646        -60.3922        18163.4         0               1               
0               0               0               0               0               
28.7562         -159.988        0.000810285     0.597187        -1.432          
0               -1.432          0.597187        0               0               
-163.499        18163.2         0               0.545839        247.105         
124.276         1.1034          6.9237          0               0               
-0.00599591     -0.239225       -1.22822e-005   0.00600819      -0.233229       
0.00598363      0.24522         0               0               0               
0               122031          18162.9         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               5               1               
98.347          0               19.439          2.04818         178649          
177.595         12.6361         0.168846        1.92208         100.748         
-0.358565       1.88835         0.499453        -1.13599        -2.15231        
-9725.82        -1928.23        -4103.34        663.966         4103.34         
179.534         12.9819         -0.45508        -2.34651        191.122         
5887.33         2.39337         2.02617         213.29          1.29382         
-2.52307        -213.768        0               0               -107.304        
47.0708         50              0               1.29418         -2.4553         
-213.8          -108.128        6924.06         0               1               
0               0               0               0               0               
12.9914         179.547         0.175223        -3.33794        -0.29597        
2084.71         -0.29597        -3.33794        2.8             0               
0               6929.71         0               1.00923         398.029         
85.8432         1.1034          6.9237          0               0               
-0.248409       0.38141         1.88112         -1.63271        0.629819        
2.12953         -0.133001       0               0               0               
0               140731          6923.4          0               0               
0               0               2.14253         -5.17926        6924.34         
-744.538        34.8202         0.2037          -0.0032659      -0.00140483     
0.0405622       -0.0889179      -0.0202171      -0.00137709     5               1               
108.783         2               29.875          2.01401         153472          
155.179         8.85721         -0.387235       5.50984         -56.0204        
3.08598         -4.56676        -1.91531        10.241          9.99109         
-15698.3        558.606         -4999.64        645.577         4999.64         
150.606         5.71433         3.74909         5.53355         170.25          
6100.39         2.33075         1.91137         219.9           1.34065         
-2.55529        -182.564        0               0               -101.664        
41.6872         50              0               1.36069         -2.53037        
-182.567        -92.5487        2.77744         0               1               
0               0               0               0               0               
5.7237          150.611         -0.381545       42.3471         26.5843         
646.976         218.209         347.593         2.8             0               
0               6929.71         0               1.02211         348.103         
81.3309         1.1034          6.9237          0               0               
0.535274        -3.49688        -4.80855        4.27327         -4.03215        
-5.34382        2.9616          2.91939         0.382724        -2.89419        
0               140731          2.98745         102.9           -84.3537        
0               0               97.8739         9.81076         3.19116         
-231.063        168.283         72.5023         0.614657        1.10609         
0.34072         0.0303354       5.21784         3.11734         5               1               
83.889          0               5.001           1.42135         134871          
-160.002        29.9908         0.0102049       1.24178         0.0226892       
1.24178         0.000491709     0.14168         -0.512549       -6.14901e-005   
-936.28         -340.765        -508.152        481.004         508.152         
-160.001        28.75           1.01215         -0.000405049    238.736         
31579           2.61244         2.47492         289.97          0.406503        
-1.36458        -119.441        0               0               -155.345        
48.9175         50              0               0.16856         -1.13786        
-119.646        -60.3921        18166.2         0               1               
0               0               0               0               0               
28.7513         -160.029        -0.000810285    0.593973        -1.39888        
0               -1.39888        0.593973        0               0               
-163.445        18161.4         0               0.545834        247.105         
124.276         1.1034          6.92359         0               0               
0.00088594      -0.239227       4.95137e-005    -0.000935454    -0.240113       
-0.000836427    0.238341        0               0               0               
0               122031          18165.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               6               1               
98.33           0               19.442          2.04852         178613          
177.643         12.6621         0.187617        1.91281         100.722         
-0.355988       1.87941         0.493325        -1.15057        -2.12799        
-9726.28        -1934.59        -4107.39        664.042         4107.39         
179.574         13.0047         -0.45196        -2.33516        191.116         
5888.34         2.39335         2.02614         213.283         1.29446         
-2.52329        -213.712        0               0               -107.26         
47.0855         50              0               1.29436         -2.45518        
-213.744        -108.1          6924.54         0               1               
0               0               0               0               0               
12.9975         179.549         0.174474        0.238532        -2.81096        
2084.74         -2.81096        0.238532        2.8             0               
0               6917.63         0               1.00932         397.939         
85.8079         1.1034          6.92359         0               0               
-0.2472         0.377837        1.87178         -1.62458        0.625037        
2.11898         -0.130637       0               0               0               
0               140731          6923.87         0               0               
0               0               2.07652         -5.23953        6923.52         
-744.55         34.8228         0.192325        -0.00332422     -0.000465837    
0.0394652       -0.0910522      -0.00350069     -0.0131986      6               1               
108.762         2               29.874          2.01694         153940          
154.715         8.31831         -0.329834       4.974           -54.7032        
2.87885         -4.05792        -1.5084         10.351          8.55231         
