1 input_9_1_1 AGM6 Test Case.asc  ' AGM66 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
3.002           0               0.936233        25163.2         -2.49161        
23.2326         0.0154178       -4.81918        -5.62906        0               
0.313778        95.741          -0.0311431      0.309768        -0.0106246      
-1.90214        0.0500493       873.978         1.58242         -6957.26        
290.555         6957.26         0.0780079       -5.66295        -0.00282177     
-0.025451       1360            11145.7         0.00242707      0.530768        
0               0               2.72709         0.0496666       2.23691         
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               -3.3588         4.9149e-006     
4.68552e-007    -3.3954e-006    0.00431703      -0.00456947     -0.00633239     
-0.00640077     -0.0405405      0.01315         1.89664         4.38373         
-1.62518        1.41562         0.17903         0.17903         1.41562         
21.8465         -6.37358        2               0               0               
0.000103957     0.0231136       0.0906433       0               0               
0               0               34333.7         0               0               
100             1               1               
78.399          0               1.23252         56114.4         -3.20497        
19.5629         -0.20171        26.5697         -32.8994        -0.052154       
1.18306         -124.862        -0.67517        -0.969071       0.22778         
-1.63392        0.429287        29025.7         7116.59         -4857.48        
402.747         4857.48         28.668          -31.7703        -0.159815       
0.223774        1110            0               250.005         0.675091        
0               0               4.77036         0.0572487       2.68689         
3               0               -0.00636386     0.00234649      -0.185108       
0.0658042       0.195482        2.80465         0               -0.000163196    
-0.00752109     -0.0821989      0.0271216       -0.00659917     3.55737e-006    
2.65664e-007    -2.21879e-006   0.00518207      -0.00317424     -0.00681186     
0.609865        -0.291837       -0.813433       24.0915         -11.7581        
-34.6263        -2.83452        0.982588        3.20795         -9.25414        
4.17957         -11.3943        2               0               0               
0.000315956     0.402179        -0.515215       0               0               
0               0               6881.98         0               0               
