1 input_13_2_1 Attacking three targets.asc  Jan 22 2018 17:05:25
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
3.002           0               0.936233        25163.2         -2.48122        
23.3498         0.00360591      -4.81915        -5.62913        0               
0.312547        95.7591         -0.031234       0.309691        -0.0103683      
-1.90315        0.0470419       873.978         1.58265         -6957.26        
290.555         6957.26         0.0779647       -5.66292        -0.00282251     
-0.0253513      1360            11145.7         0.00242707      0.53076         
0               0               2.72702         0.0496666       2.23702         
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               -1.6839         4.92406e-006    
4.72312e-007    -3.39737e-006   0.00431696      -0.00456886     -0.00633262     
-0.00640098     -0.0405408      0.0131498       1.89663         4.38373         
-1.62518        1.41835         0.201626        0.201626        1.41835         
21.87           -6.2779         2               0               0               
0.000102128     0.0229811       0.0901719       0               0               
0               0               34342           0               0               
100             1               1               
78.345          0               1.23439         56236.3         -3.35688        
19.7473         -0.078549       28.3984         -33.1837        -0.0478831      
1.13842         -125.549        -0.66165        -0.92582        0.227975        
-1.42392        0.349639        28801.3         7742.65         -4864.74        
403.839         4864.74         30.5167         -32.0175        -0.156676       
0.214418        1110            0               250.005         0.6731          
0               0               4.76303         0.057254        2.69817         
3               0               -0.00648294     0.0016313       -0.180871       
0.0471248       0.186757        2.88777         0               0.000270323     
-0.00677384     -0.0801989      0.0196801       -3.22179        3.59366e-006    
4.17325e-007    -1.99095e-006   0.00519994      -0.00323377     -0.00681912     
0.607479        -0.273206       -0.814583       24.0893         -11.1541        
-34.7651        -2.90491        0.749322        2.34191         -9.07894        
3.08697         -10.87          2               0               0               
0.000155976     0.389936        -0.488034       0               0               
0               0               6881.11         0               0               
100             1               1               
