1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
3.002           0               0.929896        25030.3         0               
0               0               0.00346379      -5.71381        -0              
0.0525639       -174.821        -0.0519968      -0.00471253     0.000402693     
-1.92462        0.000899844     873.947         0.0151009       -6957.29        
290.581         6957.29         0.00229638      -5.66182        -0.00410389     
0.000446153     1360            11199.5         0.00242707      0.526004        
0               0               2.69458         0.0500987       2.24359         
2.2483          0               0               0               0               
0               0               0               0               0               
0               0               0               -4.77414        5.067e-006      
5.34274e-007    -3.41596e-006   0.00429191      -0.00442051     -0.00637225     
-0.00564918     -0.0398916      0.0132019       1.89738         4.38375         
-1.62496        1.41865         0.187547        0.187547        1.41865         
16.9894         -5.97453        2               0               0               
-1.04262e-006   0.0197606       -0.00276098     0               0               
0               0               34334.2         0               0               
100             1               1               
79.049          0               1.21313         56614.6         0               
0               0               27.9555         -31.6518        -0.0331575      
0.860584        -105.274        -0.22672        -0.830173       0.183159        
-1.35881        0.284135        28918.1         7325.81         -4874.71        
389.478         4874.71         26.9825         -31.4218        -0.0553755      
0.191379        1110            0               250.005         0.677228        
0               0               4.78871         0.0588675       2.76923         
3               0               -0.00694098     0.000852837     -0.207351       
0.0145096       0.208257        3.07328         0               -0.00056301     
-0.00632224     -0.0884973      0.00754845      1.85713         3.73131e-006    
4.76446e-007    -2.06381e-006   0.00545126      -0.0035726      -0.00752218     
0.65362         -0.275658       -0.824809       25.7717         -11.0272        
-35.2221        -2.98823        0.26543         0.862462        -9.70967        
1.19533         -12.5183        2               0               0               
0.000124388     0.159792        -0.431451       0               0               
0               0               6885.98         0               0               
100             1               1               
