TITLE AIM5 aero deck 

       Reference area = 0.01767 m^2
	   Reference diameter = 0.15 m	

2DIM  cl_aim_vs_alpha_mach
NX1 8	NX2 8   // lift coefficient; 8 rows of alpha (X1), 8 columns of mach (X2) 
0		0.7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
5		0.9	  0.399 0.405 0.400 0.390 0.404 0.376 0.398 0.421
10		1.1	  0.890 0.913 0.958 1.011 1.132 1.265 1.465 1.355			
15		1.4	  1.485 1.602 1.898 2.152 2.604 2.834 2.659 2.345
20		1.8	  2.300 2.644 3.389 4.154 4.608 4.336 3.879 3.557
25		2.5	  3.394 3.986 5.619 6.448 6.416 5.666 5.171 4.962
30		3.5	  4.735 5.847 8.267 8.370 7.846 6.980 6.569 6.387
35		5	  6.335 8.048 10.56 10.15 9.081 8.191 7.917 7.719

2DIM  cd_aim_on_vs_alpha_mach
NX1 8	NX2 8   // drag coefficient thrust; 8 rows of alpha (X1), 8 columns of mach (X2)  
0		0.7   0.207 0.317 0.751 0.682 0.575 0.611 0.613 0.585
5		0.9	  0.233 0.344 0.775 0.697 0.597 0.635 0.649 0.630
10		1.1	  0.306 0.412 0.830 0.761 0.723 0.810 0.887 0.857
15		1.4	  0.463 0.584 1.048 1.053 1.173 1.329 1.356 1.270
20		1.8	  0.722 0.887 1.441 1.758 2.077 2.114 2.061 1.950
25		2.5	  1.275 1.567 2.494 3.071 3.291 3.111 3.038 2.964
30		3.5	  2.054 2.639 4.002 4.658 4.692 4.408 4.370 4.307
35		5	  3.063 4.059 5.656 6.619 6.347 5.986 6.053 5.977

2DIM  cd_aim_off_vs_alpha_mach
NX1 8	NX2 8   // drag coefficient thrust; 8 rows of alpha (X1), 8 columns of mach (X2)  
0		0.7   0.260 0.369 0.830 0.754 0.638 0.657 0.644 0.607
5		0.9	  0.287 0.398 0.858 0.770 0.661 0.681 0.677 0.647
10		1.1	  0.363 0.468 0.916 0.837 0.788 0.847 0.895 0.854
15		1.4	  0.526 0.654 1.153 1.138 1.233 1.349 1.339 1.245
20		1.8	  0.833 0.971 1.577 1.870 2.141 2.116 2.016 1.902
25		2.5	  1.371 1.676 2.669 3.203 3.360 3.105 2.975 2.895
30		3.5	  2.183 2.794 4.235 4.819 4.782 4.401 4.298 4.231
35		5	  3.236 4.274 5.956 6.836 6.471 5.996 5.982 5.904

