TITLE Ghame3 Drag Polar, 100505, PZi

	Ref area = 557.42 m^2
	Ref span =24.38 m
	Ref cord = 22.86 m
	
	Ref: "Handbook of Intelligent Control", Chapter 11 "Flight
		  Propulsion, and Thermal Control of Advanced Aircraft and
		  Hypersonic Vehicles", Edited by D.A.White and D.A. Sofge,
		  Van Nostrand Reinhold,New York, NY, 1992
	
1DIM cd0_vs_mach
NX1 13
0.4		0.0340
0.6		0.0337
0.8		0.0382
0.9		0.0477
0.95	0.0600
1.05	0.0827
1.2		0.0816
1.5		0.0780
2		0.0689
3		0.0503
6		0.0347
12		0.0252
24		0.0209

1DIM cl0_vs_mach
NX1 13
0.4		0.0195
0.6		0.0363
0.8		0.0177
0.9		0.0060
0.95	0.0190
1.05	0.0191
1.2		0.0038
1.5		0.0143
2		0.0149
3		0.0106
6		0.0059
12		0.0020
24		0.0018

1DIM ckk_vs_mach
NX1 13
0.4		0.3492
0.6		0.4136
0.8		0.4356
0.9		0.4410
0.95	0.4229
1.05	0.4190
1.2		0.3894
1.5		0.4574
2		0.5586
3		0.8381
6		1.2739
12		1.7523
24		2.0709

1DIM cla_vs_mach
NX1 13
0.4		0.0304
0.6		0.0311
0.8		0.0320
0.9		0.0324
0.95	0.0353
1.05	0.0362
1.2		0.0350
1.5		0.0300
2		0.0241
3		0.0166
6		0.0109
12		0.0077
24		0.0064

1DIM cla0_vs_mach
NX1 13
0.4		-0.0418
0.6		-0.0424
0.8		-0.0454
0.9		-0.0412
0.95	-0.0371
1.05	-0.0313
1.2		-0.0409
1.5		-0.0401
2		-0.0327
3		-0.0283
6		-0.0257
12		-0.0240
24		-0.0200
